All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    final.contigs
# contigs (>= 0 bp)         2            
# contigs (>= 1000 bp)      0            
# contigs (>= 5000 bp)      0            
# contigs (>= 10000 bp)     0            
# contigs (>= 25000 bp)     0            
# contigs (>= 50000 bp)     0            
Total length (>= 0 bp)      1209         
Total length (>= 1000 bp)   0            
Total length (>= 5000 bp)   0            
Total length (>= 10000 bp)  0            
Total length (>= 25000 bp)  0            
Total length (>= 50000 bp)  0            
# contigs                   1            
Largest contig              886          
Total length                886          
GC (%)                      40.52        
N50                         886          
N90                         886          
auN                         886.0        
L50                         1            
L90                         1            
# N's per 100 kbp           0.00         
